player_id,player_name,team,position,games_played,toi_seconds,goals,assists,points,shots,hits,blocks,plus_minus,pim,fow,fol,fo_pct,GF,xG_For,Shots_For,HDC_For,Blocks_For,Hits_For,Corsi_For,OZ_Shots_For,NZ_Shots_For,DZ_Shots_For,Rush_Shots_For,ENtoS_For,EXtoEN_For,Giveaways_For,Takeaways_For,Lateral_Move_For,Longitudinal_Move_For,GameScore_For,GA,xG_Against,Shots_Against,HDC_Against,Blocks_Against,Hits_Against,Corsi_Against,OZ_Shots_Against,NZ_Shots_Against,DZ_Shots_Against,Rush_Shots_Against,ENtoS_Against,EXtoEN_Against,Giveaways_Against,Takeaways_Against,Lateral_Move_Against,Longitudinal_Move_Against,GameScore_Against,Corsi_Pct,xG_Pct
8480208,D. Batherson,OTT,F,52,1068.06,0.37,0.56,0.92,2.08,1.46,0.31,-0.04,0.4,0.0,0.0,0.0,3.42,0.22,2.12,0.75,0.31,1.46,4.08,2.1,0.02,0.0,0.0,1.08,0.0,0.73,0.35,10.93,22.24,0.8,3.17,1.89,24.77,4.94,14.87,22.81,48.58,23.54,0.56,0.67,0.0,10.38,0.87,0.0,0.0,19.55,27.27,0.0,7.85,10.38
8480220,N. Cates,PHI,F,54,979.63,0.19,0.3,0.48,1.57,1.17,0.7,0.28,0.61,0.0,0.0,0.0,3.0,0.13,1.57,0.43,0.7,1.17,2.72,1.48,0.06,0.04,0.0,0.41,0.0,0.48,0.28,6.02,10.59,0.48,3.26,2.37,25.93,5.67,16.24,20.7,54.3,24.74,0.65,0.54,0.0,11.15,1.24,0.0,0.0,21.66,29.15,0.0,4.89,5.19
8480238,J. Patera,VAN,G,13,262.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,4.08,2.84,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8480245,O. Lycksell,OTT,F,7,592.57,0.14,0.14,0.29,1.0,0.57,0.57,-0.29,0.0,0.0,0.0,0.0,3.0,0.03,1.0,0.14,0.57,0.57,1.29,0.86,0.14,0.0,0.0,0.43,0.0,0.14,0.14,0.29,2.14,0.32,4.14,1.7,24.71,5.29,14.57,24.29,45.14,24.29,0.14,0.29,0.0,9.29,1.0,0.0,0.0,19.76,33.39,0.0,2.84,2.04
8480246,N. Perbix,NSH,D,52,1163.6,0.06,0.1,0.15,1.02,0.46,1.04,-0.27,0.27,0.0,0.0,0.0,2.92,0.09,1.02,0.12,1.04,0.46,2.46,0.92,0.02,0.08,0.0,0.46,0.0,1.1,0.23,10.59,11.44,0.11,3.46,2.04,29.19,5.44,13.02,20.04,52.15,28.02,0.73,0.44,0.0,10.81,1.08,0.0,0.0,20.63,25.98,0.0,4.68,4.51
8480259,B. Jones,MIN,F,26,516.46,0.04,0.04,0.08,0.96,2.04,0.42,-0.38,0.0,0.0,0.0,0.0,3.54,0.06,0.96,0.08,0.42,2.04,1.73,0.96,0.0,0.0,0.0,0.46,0.12,0.31,0.04,4.88,6.65,0.16,2.65,2.64,30.31,5.92,17.65,18.54,61.19,29.08,0.69,0.54,0.0,12.27,1.0,0.0,0.0,20.28,24.97,0.0,2.84,2.33
8480280,J. Swayman,BOS,G,56,2402.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,3.16,2.34,19.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8480281,A. Toropchenko,STL,F,40,730.85,0.05,0.1,0.15,0.98,2.22,0.95,-0.25,0.6,0.0,0.0,0.0,2.42,0.08,0.98,0.2,0.95,2.22,1.78,0.92,0.02,0.02,0.0,0.32,0.0,0.48,0.15,4.58,6.96,0.23,3.42,2.07,27.55,5.22,16.4,16.8,55.72,25.72,1.15,0.68,0.0,10.45,1.12,0.0,0.0,21.72,30.41,0.0,3.11,3.85
8480289,M. Barron,WPG,F,46,758.3,0.15,0.22,0.37,1.57,2.26,0.52,0.11,0.52,0.0,0.0,0.0,2.85,0.12,1.57,0.33,0.52,2.26,2.7,1.41,0.11,0.04,0.0,0.65,0.07,0.54,0.33,2.6,3.8,0.42,3.09,2.36,28.48,6.09,15.33,18.54,54.8,27.17,0.7,0.61,0.0,10.76,1.17,0.0,0.0,21.05,26.61,0.0,4.91,5.01
8480313,L. Thompson,WSH,G,54,2494.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,3.04,2.58,19.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
